service_date,day_type,bus,rail_boardings,total_rides
2023-06-26,W,445453,323554,769007
2023-06-27,W,496729,395754,892483
2023-06-28,W,496731,392034,888765
2023-06-29,W,470303,393963,864266
2023-06-30,W,473836,378120,851956
2023-07-01,A,335143,311337,646480
2023-07-02,U,170177,192380,362557
2023-07-03,W,444738,293378,738116
2023-07-04,U,281675,195858,477533
2023-07-05,W,448241,324432,772673
2023-07-06,W,495284,375201,870485
2023-07-07,W,479367,347499,826866
2023-07-08,A,352631,259570,612201
2023-07-09,U,281445,205204,486649
2023-07-10,W,485647,330776,816423
2023-07-11,W,483040,372976,856016
2023-07-12,W,443121,354104,797225
2023-07-13,W,505564,394862,900426
2023-07-14,W,476443,373807,850250
2023-07-15,A,359874,287408,647282
2023-07-16,U,281420,234238,515658
2023-07-17,W,480822,349113,829935
2023-07-18,W,512122,398713,910835
2023-07-19,W,515105,402686,917791
2023-07-20,W,502681,414002,916683
2023-07-21,W,485225,389288,874513
2023-07-22,A,360932,312905,673837
2023-07-23,U,288305,247161,535466
2023-07-24,W,474506,338496,813002
2023-07-25,W,508517,383391,891908
2023-07-26,W,478350,371278,849628
2023-07-27,W,502581,385163,887744
2023-07-28,W,446842,334517,781359
2023-07-29,A,364824,286441,651265
2023-07-30,U,285496,219936,505432
2023-07-31,W,469024,334195,803219
2023-08-01,W,528437,389535,917972
2023-08-02,W,519583,423358,942941
2023-08-03,W,521191,480968,1002159
2023-08-04,W,493321,456039,949360
2023-08-05,A,338701,346075,684776
2023-08-06,U,264872,298188,563060
2023-08-07,W,467465,346627,814092
2023-08-08,W,508824,388916,897740
2023-08-09,W,501770,394563,896333
2023-08-10,W,506343,383545,889888
2023-08-11,W,472150,370307,842457
2023-08-12,A,370464,315090,685554
2023-08-13,U,279218,225085,504303
2023-08-14,W,408865,290559,699424
2023-08-15,W,500013,382517,882530
2023-08-16,W,518485,390193,908678
2023-08-17,W,484256,366327,850583
2023-08-18,W,490626,366654,857280
2023-08-19,A,381458,303336,684794
2023-08-20,U,296344,239159,535503
2023-08-21,W,551302,343866,895168
2023-08-22,W,564653,390141,954794
2023-08-23,W,531763,365111,896874
2023-08-24,W,501750,365055,866805
2023-08-25,W,553276,375055,928331
2023-08-26,A,361538,273589,635127
2023-08-27,U,289983,218533,508516
2023-08-28,W,567171,371199,938370
2023-08-29,W,585643,418817,1004460
2023-08-30,W,589901,420080,1009981
2023-08-31,W,579376,413083,992459
2023-09-01,W,585674,386812,972486
2023-09-02,A,384728,291029,675757
2023-09-03,U,309758,248524,558282
2023-09-04,U,293106,220411,513517
2023-09-05,W,586167,409043,995210
2023-09-06,W,578259,425429,1003688
2023-09-07,W,597711,442432,1040143
2023-09-08,W,555213,397332,952545
2023-09-09,A,385592,323033,708625
2023-09-10,U,297306,247808,545114
2023-09-11,W,504742,356445,861187
2023-09-12,W,603242,432403,1035645
2023-09-13,W,593103,431950,1025053
2023-09-14,W,587439,437320,1024759
2023-09-15,W,566708,432176,998884
2023-09-16,A,352049,340865,692914
2023-09-17,U,252015,219746,471761
2023-09-18,W,560810,382031,942841
2023-09-19,W,555949,432367,988316
2023-09-20,W,599268,447165,1046433
2023-09-21,W,581536,449600,1031136
2023-09-22,W,525718,400937,926655
2023-09-23,A,381816,312772,694588
2023-09-24,U,290336,234578,524914
2023-09-25,W,552311,370891,923202
2023-09-26,W,565172,416619,981791
2023-09-27,W,583749,427267,1011016
2023-09-28,W,597723,437574,1035297
2023-09-29,W,578054,401168,979222
2023-09-30,A,391173,301206,692379
2023-10-01,U,303953,229368,533321
2023-10-02,W,576630,378334,954964
2023-10-03,W,619488,434467,1053955
2023-10-04,W,610623,445787,1056410
2023-10-05,W,584937,447707,1032644
2023-10-06,W,559485,428321,987806
2023-10-07,A,386990,334134,721124
2023-10-08,U,253021,403385,656406
2023-10-09,W,452540,366694,819234
2023-10-10,W,601129,443465,1044594
2023-10-11,W,598019,442594,1040613
2023-10-12,W,567954,433731,1001685
2023-10-13,W,519462,373986,893448
2023-10-14,A,338320,266624,604944
2023-10-15,U,293753,222768,516521
2023-10-16,W,551971,374520,926491
2023-10-17,W,587256,440241,1027497
2023-10-18,W,595182,439266,1034448
2023-10-19,W,579587,433975,1013562
2023-10-20,W,562941,395292,958233
2023-10-21,A,364186,309900,674086
2023-10-22,U,288942,219804,508746
2023-10-23,W,555068,379650,934718
2023-10-24,W,598773,434867,1033640
2023-10-25,W,570560,426962,997522
2023-10-26,W,535013,412606,947619
2023-10-27,W,503840,373004,876844
2023-10-28,A,360484,275006,635490
2023-10-29,U,250473,185823,436296
2023-10-30,W,551840,367453,919293
2023-10-31,W,520069,390110,910179
2023-11-01,W,576336,410084,986420
2023-11-02,W,579094,419780,998874
2023-11-03,W,563943,373412,937355
2023-11-04,A,401704,280222,681926
2023-11-05,U,296526,200577,497103
2023-11-06,W,568672,375471,944143
2023-11-07,W,588549,424318,1012867
2023-11-08,W,578329,422082,1000411
2023-11-09,W,588110,454074,1042184
2023-11-10,W,461731,351382,813113
2023-11-11,A,354671,266284,620955
2023-11-12,U,294251,195035,489286
2023-11-13,W,558320,370511,928831
2023-11-14,W,581009,424128,1005137
2023-11-15,W,587609,422609,1010218
2023-11-16,W,580758,415406,996164
2023-11-17,W,544624,418827,963451
2023-11-18,A,348044,315864,663908
2023-11-19,U,278346,201431,479777
2023-11-20,W,472022,334103,806125
2023-11-21,W,465329,339605,804934
2023-11-22,W,443954,298121,742075
2023-11-23,U,187931,128326,316257
2023-11-24,W,323157,227199,550356
2023-11-25,A,310164,213175,523339
2023-11-26,U,219912,160320,380232
2023-11-27,W,505729,325992,831721
2023-11-28,W,522935,368618,891553
2023-11-29,W,553418,387126,940544
2023-11-30,W,559855,396342,956197
2023-12-01,W,513523,339748,853271
2023-12-02,A,358919,260456,619375
2023-12-03,U,268845,172945,441790
2023-12-04,W,537917,337666,875583
2023-12-05,W,556584,384481,941065
2023-12-06,W,572732,389802,962534
2023-12-07,W,580504,404303,984807
2023-12-08,W,561665,372605,934270
2023-12-09,A,369433,283097,652530
2023-12-10,U,264202,196318,460520
2023-12-11,W,517482,326238,843720
2023-12-12,W,556451,378617,935068
2023-12-13,W,559461,378896,938357
2023-12-14,W,558905,384778,943683
2023-12-15,W,535654,351722,887376
2023-12-16,A,321951,230799,552750
2023-12-17,U,271335,184885,456220
2023-12-18,W,498940,306545,805485
2023-12-19,W,527927,342290,870217
2023-12-20,W,540890,343581,884471
2023-12-21,W,519383,325377,844760
2023-12-22,W,418720,267301,686021
2023-12-23,A,341975,206358,548333
2023-12-24,U,247277,141693,388970
2023-12-25,U,145433,80206,225639
2023-12-26,W,360458,208665,569123
2023-12-27,W,403147,252136,655283
