service_date,day_type,bus,rail_boardings,total_rides
2025-02-03,W,606339,353604,959943
2025-02-04,W,645402,406443,1051845
2025-02-05,W,635406,401074,1036480
2025-02-06,W,609473,389270,998743
2025-02-07,W,607518,343179,950697
2025-02-08,A,384157,230997,615154
2025-02-09,U,305384,184140,489524
2025-02-10,W,610015,348496,958511
2025-02-11,W,647968,403018,1050986
2025-02-12,W,534498,331208,865706
2025-02-13,W,606722,385304,992026
2025-02-14,W,573008,335400,908408
2025-02-15,A,386605,240422,627027
2025-02-16,U,299024,181536,480560
2025-02-17,W,400615,244659,645274
2025-02-18,W,531736,333870,865606
2025-02-19,W,594850,372372,967222
2025-02-20,W,617425,389274,1006699
2025-02-21,W,596118,337263,933381
2025-02-22,A,406903,240475,647378
2025-02-23,U,307050,178392,485442
2025-02-24,W,624782,362175,986957
2025-02-25,W,627199,405412,1032611
2025-02-26,W,660497,406418,1066915
2025-02-27,W,664356,411692,1076048
2025-02-28,W,638990,361604,1000594
2025-03-01,A,417449,246424,663873
2025-03-02,U,317388,184554,501942
2025-03-03,W,625319,354348,979667
2025-03-04,W,629120,399036,1028156
2025-03-05,W,654088,406995,1061083
2025-03-06,W,671560,414203,1085763
2025-03-07,W,600283,344590,944873
2025-03-08,A,437194,264584,701778
2025-03-09,U,328363,197588,525951
2025-03-10,W,642632,380879,1023511
2025-03-11,W,678778,428526,1107304
2025-03-12,W,685975,431488,1117463
2025-03-13,W,685187,443842,1129029
2025-03-14,W,660184,426782,1086966
2025-03-15,A,459936,578528,1038464
2025-03-16,U,298358,217264,515622
2025-03-17,W,641760,397964,1039724
2025-03-18,W,683691,444142,1127833
2025-03-19,W,635916,419475,1055391
2025-03-20,W,648522,420015,1068537
2025-03-21,W,635894,374920,1010814
2025-03-22,A,431231,276414,707645
2025-03-23,U,297740,213829,511569
2025-03-24,W,536885,328513,865398
2025-03-25,W,586792,380398,967190
2025-03-26,W,595476,381973,977449
2025-03-27,W,572285,385280,957565
2025-03-28,W,558797,348709,907506
2025-03-29,A,426225,272473,698698
2025-03-30,U,310139,194212,504351
2025-03-31,W,569528,363874,933402
2025-04-01,W,640123,417811,1057934
2025-04-02,W,562307,384684,946991
2025-04-03,W,706537,448398,1154935
2025-04-04,W,655531,408483,1064014
2025-04-05,A,445037,336612,781649
2025-04-06,U,344926,234208,579134
2025-04-07,W,633704,384950,1018654
2025-04-08,W,654659,440394,1095053
2025-04-09,W,654492,432528,1087020
2025-04-10,W,661603,435867,1097470
2025-04-11,W,663376,399616,1062992
2025-04-12,A,462736,305232,767968
2025-04-13,U,349886,234292,584178
2025-04-14,W,658807,392199,1051006
2025-04-15,W,670860,441572,1112432
2025-04-16,W,693466,449648,1143114
2025-04-17,W,664953,447559,1112512
2025-04-18,W,573522,388980,962502
2025-04-19,A,434831,298128,732959
2025-04-20,U,307295,197946,505241
2025-04-21,W,615719,370290,986009
2025-04-22,W,682743,459783,1142526
2025-04-23,W,663110,458376,1121486
2025-04-24,W,693232,458764,1151996
2025-04-25,W,632561,409879,1042440
2025-04-26,A,463597,324508,788105
2025-04-27,U,358340,251485,609825
2025-04-28,W,665474,403776,1069250
2025-04-29,W,684590,451083,1135673
2025-04-30,W,673173,445816,1118989
2025-05-01,W,665584,447789,1113373
2025-05-02,W,667696,398588,1066284
2025-05-03,A,462238,298596,760834
2025-05-04,U,325938,212285,538223
2025-05-05,W,655835,409212,1065047
2025-05-06,W,696611,471735,1168346
2025-05-07,W,687937,469297,1157234
2025-05-08,W,678319,456161,1134480
2025-05-09,W,662444,408120,1070564
2025-05-10,A,464180,304816,768996
2025-05-11,U,344970,224894,569864
2025-05-12,W,632141,399002,1031143
2025-05-13,W,674740,459584,1134324
2025-05-14,W,676792,469275,1146067
2025-05-15,W,670398,455797,1126195
2025-05-16,W,655731,446648,1102379
2025-05-17,A,455837,351119,806956
2025-05-18,U,360197,291025,651222
2025-05-19,W,632753,400442,1033195
2025-05-20,W,596285,414254,1010539
2025-05-21,W,643463,435417,1078880
2025-05-22,W,660421,458127,1118548
2025-05-23,W,642179,407023,1049202
2025-05-24,A,449312,352134,801446
2025-05-25,U,357748,280409,638157
2025-05-26,U,350782,247930,598712
2025-05-27,W,650816,432469,1083285
2025-05-28,W,636696,443464,1080160
2025-05-29,W,667477,450747,1118224
2025-05-30,W,646031,426223,1072254
2025-05-31,A,464022,342068,806090
2025-06-01,U,354696,274853,629549
2025-06-02,W,651315,408540,1059855
2025-06-03,W,685304,459948,1145252
2025-06-04,W,616414,432355,1048769
2025-06-05,W,673762,467995,1141757
2025-06-06,W,651138,439491,1090629
2025-06-07,A,477562,357317,834879
2025-06-08,U,359710,273304,633014
2025-06-09,W,624412,403747,1028159
2025-06-10,W,655612,471254,1126866
2025-06-11,W,674938,468460,1143398
2025-06-12,W,655819,494741,1150560
2025-06-13,W,564232,434661,998893
2025-06-14,A,457053,445477,902530
2025-06-15,U,369158,279837,648995
2025-06-16,W,579527,387954,967481
2025-06-17,W,620233,475334,1095567
2025-06-18,W,549897,426656,976553
2025-06-19,W,539643,399059,938702
2025-06-20,W,589269,437543,1026812
2025-06-21,A,473807,362564,836371
2025-06-22,U,362280,272523,634803
2025-06-23,W,570365,380857,951222
2025-06-24,W,599119,433791,1032910
2025-06-25,W,625677,455201,1080878
2025-06-26,W,614512,481722,1096234
2025-06-27,W,593324,428848,1022172
2025-06-28,A,476323,347157,823480
2025-06-29,U,357530,331024,688554
2025-06-30,W,590108,385554,975662
2025-07-01,W,652608,461740,1114348
2025-07-02,W,629630,448830,1078460
2025-07-03,W,609341,435512,1044853
2025-07-04,U,366244,283915,650159
2025-07-05,A,430107,340772,770879
2025-07-06,U,335927,270905,606832
2025-07-07,W,600991,403250,1004241
2025-07-08,W,617880,447111,1064991
2025-07-09,W,628372,450426,1078798
2025-07-10,W,634428,458530,1092958
2025-07-11,W,584818,412182,997000
2025-07-12,A,470738,340047,810785
2025-07-13,U,368882,269248,638130
2025-07-14,W,600622,393820,994442
2025-07-15,W,636511,449385,1085896
2025-07-16,W,605163,443023,1048186
2025-07-17,W,621409,470736,1092145
2025-07-18,W,614017,471069,1085086
2025-07-19,A,447221,362224,809445
2025-07-20,U,362550,299545,662095
2025-07-21,W,603611,431476,1035087
2025-07-22,W,634982,489994,1124976
2025-07-23,W,619156,477607,1096763
2025-07-24,W,571166,435051,1006217
2025-07-25,W,553138,420908,974046
2025-07-26,A,443346,374114,817460
2025-07-27,U,367565,288486,656051
2025-07-28,W,563527,389510,953037
2025-07-29,W,613764,458261,1072025
2025-07-30,W,581194,477096,1058290
2025-07-31,W,620788,554424,1175212
2025-08-01,W,626124,542964,1169088
2025-08-02,A,481035,464316,945351
2025-08-03,U,373971,377437,751408
2025-08-04,W,583320,446058,1029378
2025-08-05,W,618490,483403,1101893
2025-08-06,W,615389,481335,1096724
2025-08-07,W,612000,464756,1076756
2025-08-08,W,587536,429046,1016582
2025-08-09,A,470881,351031,821912
2025-08-10,U,365955,281154,647109
2025-08-11,W,569387,398640,968027
2025-08-12,W,549342,427909,977251
2025-08-13,W,623327,456084,1079411
2025-08-14,W,618844,452988,1071832
2025-08-15,W,602922,462943,1065865
2025-08-16,A,456717,385469,842186
2025-08-17,U,377116,316775,693891
2025-08-18,W,617598,410564,1028162
2025-08-19,W,664674,481760,1146434
2025-08-20,W,686934,482944,1169878
2025-08-21,W,681067,492067,1173134
2025-08-22,W,660294,426849,1087143
2025-08-23,A,471307,341375,812682
2025-08-24,U,365984,271530,637514
2025-08-25,W,670572,417570,1088142
2025-08-26,W,695460,477392,1172852
2025-08-27,W,692677,484758,1177435
2025-08-28,W,686401,533270,1219671
2025-08-29,W,680405,489248,1169653
2025-08-30,A,465234,401830,867064
2025-08-31,U,385506,353202,738708
2025-09-01,U,372225,300248,672473
2025-09-02,W,695791,481324,1177115
2025-09-03,W,689262,482621,1171883
2025-09-04,W,700645,485295,1185940
2025-09-05,W,673122,469348,1142470
2025-09-06,A,455956,382576,838532
2025-09-07,U,357064,299209,656273
2025-09-08,W,664938,439636,1104574
2025-09-09,W,687645,485475,1173120
2025-09-10,W,695318,495963,1191281
2025-09-11,W,681871,500765,1182636
2025-09-12,W,666234,462050,1128284
2025-09-13,A,421457,332671,754128
2025-09-14,U,350343,276301,626644
2025-09-15,W,664100,446019,1110119
2025-09-16,W,688942,496717,1185659
2025-09-17,W,694761,500989,1195750
2025-09-18,W,694285,512054,1206339
2025-09-19,W,674243,485407,1159650
2025-09-20,A,445319,363583,808902
2025-09-21,U,357015,291395,648410
2025-09-22,W,666516,442484,1109000
2025-09-23,W,673622,498011,1171633
2025-09-24,W,700959,512386,1213345
2025-09-25,W,695282,530667,1225949
2025-09-26,W,614351,462671,1077022
2025-09-27,A,468349,367693,836042
2025-09-28,U,355700,279298,634998
2025-09-29,W,657970,433247,1091217
2025-09-30,W,690052,508219,1198271
2025-10-01,W,714964,514769,1229733
2025-10-02,W,690196,504178,1194374
2025-10-03,W,675874,439014,1114888
2025-10-04,A,462810,338258,801068
2025-10-05,U,353373,262217,615590
2025-10-06,W,654948,423223,1078171
2025-10-07,W,656234,469717,1125951
2025-10-08,W,699779,519969,1219748
2025-10-09,W,689150,541178,1230328
2025-10-10,W,659950,490395,1150345
2025-10-11,A,453038,413476,866514
2025-10-12,U,313881,557727,871608
2025-10-13,W,515678,414376,930054
2025-10-14,W,692393,497278,1189671
2025-10-15,W,666759,487505,1154264
2025-10-16,W,688365,503737,1192102
2025-10-17,W,649764,449582,1099346
2025-10-18,A,439065,452626,891691
2025-10-19,U,329001,253066,582067
2025-10-20,W,651558,432409,1083967
2025-10-21,W,654157,476293,1130450
2025-10-22,W,656744,473974,1130718
2025-10-23,W,663146,485055,1148201
2025-10-24,W,630708,425786,1056494
2025-10-25,A,443149,291053,734202
2025-10-26,U,355126,222282,577408
2025-10-27,W,589139,406067,995206
2025-10-28,W,674402,474511,1148913
2025-10-29,W,681235,477620,1158855
2025-10-30,W,685819,486576,1172395
2025-10-31,W,664859,442259,1107118
2025-11-01,A,425503,327617,753120
2025-11-02,U,331012,261115,592127
2025-11-03,W,665548,419744,1085292
2025-11-04,W,673038,464993,1138031
2025-11-05,W,673357,466429,1139786
2025-11-06,W,664491,471201,1135692
2025-11-07,W,650979,430612,1081591
2025-11-08,A,414216,305025,719241
2025-11-09,U,302361,219909,522270
2025-11-10,W,552135,376616,928751
2025-11-11,W,513364,395231,908595
2025-11-12,W,670402,473816,1144218
2025-11-13,W,664732,476480,1141212
2025-11-14,W,643173,426729,1069902
2025-11-15,A,447945,354593,802538
2025-11-16,U,332419,233468,565887
2025-11-17,W,640950,415711,1056661
2025-11-18,W,636407,464060,1100467
2025-11-19,W,662191,468628,1130819
2025-11-20,W,661684,467611,1129295
2025-11-21,W,640965,468037,1109002
2025-11-22,A,412805,363456,776261
2025-11-23,U,339913,247351,587264
2025-11-24,W,550755,381922,932677
2025-11-25,W,550524,387745,938269
2025-11-26,W,465776,309035,774811
2025-11-27,U,212762,132098,344860
2025-11-28,W,389505,249231,638736
2025-11-29,A,280784,211288,492072
2025-11-30,U,271575,188988,460563
2025-12-01,W,604355,381325,985680
2025-12-02,W,629538,440785,1070323
2025-12-03,W,648760,452833,1101593
2025-12-04,W,582248,424985,1007233
2025-12-05,W,596002,394923,990925
2025-12-06,A,349457,310919,660376
2025-12-07,U,295921,218452,514373
2025-12-08,W,603721,379510,983231
2025-12-09,W,636800,438491,1075291
2025-12-10,W,637423,434547,1071970
2025-12-11,W,629716,439175,1068891
2025-12-12,W,603670,396009,999679
2025-12-13,A,347547,258582,606129
2025-12-14,U,252339,180692,433031
2025-12-15,W,541081,336188,877269
2025-12-16,W,615002,411424,1026426
2025-12-17,W,636688,423583,1060271
2025-12-18,W,582363,396000,978363
2025-12-19,W,546060,345835,891895
2025-12-20,A,396429,282597,679026
2025-12-21,U,312184,206150,518334
2025-12-22,W,488902,307963,796865
2025-12-23,W,504239,308285,812524
2025-12-24,W,392531,200188,592719
2025-12-25,U,184004,97129,281133
2025-12-26,W,404406,225567,629973
2025-12-27,A,365180,220383,585563
2025-12-28,U,260640,162803,423443
2025-12-29,W,411259,263237,674496
2025-12-30,W,448472,290152,738624
2025-12-31,W,449613,289944,739557
2026-01-01,U,241782,193871,435653
2026-01-02,W,458255,266897,725152
2026-01-03,A,367490,224048,591538
2026-01-04,U,304696,187835,492531
2026-01-05,W,531936,338468,870404
2026-01-06,W,625421,395670,1021091
2026-01-07,W,639146,404037,1043183
2026-01-08,W,601327,396490,997817
2026-01-09,W,598950,349771,948721
2026-01-10,A,394664,262131,656795
2026-01-11,U,303604,185125,488729
2026-01-12,W,627327,375119,1002446
2026-01-13,W,659722,428301,1088023
2026-01-14,W,577865,409445,987310
2026-01-15,W,617491,416542,1034033
2026-01-16,W,581872,354351,936223
2026-01-17,A,366948,237089,604037
2026-01-18,U,287953,197529,485482
2026-01-19,W,319605,192340,511945
2026-01-20,W,586434,381984,968418
2026-01-21,W,632558,414434,1046992
2026-01-22,W,594942,396883,991825
2026-01-23,W,241720,145668,387388
2026-01-24,A,263971,156280,420251
2026-01-25,U,226408,154109,380517
2026-01-26,W,498891,309223,808114
2026-01-27,W,593424,393460,986884
2026-01-28,W,561816,396969,958785
2026-01-29,W,604117,401847,1005964
2026-01-30,W,569408,340882,910290
2026-01-31,A,370671,233048,603719
2026-02-01,U,306240,183186,489426
2026-02-02,W,614282,364184,978466
2026-02-03,W,663459,423650,1087109
2026-02-04,W,652700,420723,1073423
2026-02-05,W,638238,415242,1053480
2026-02-06,W,606602,354566,961168
2026-02-07,A,406313,248901,655214
2026-02-08,U,313435,182992,496427
2026-02-09,W,617302,359902,977204
2026-02-10,W,670567,426064,1096631
2026-02-11,W,670727,428818,1099545
2026-02-12,W,644978,417057,1062035
2026-02-13,W,643010,371703,1014713
2026-02-14,A,433835,287425,721260
2026-02-15,U,357737,224299,582036
2026-02-16,W,502042,305664,807706
2026-02-17,W,600520,409165,1009685
2026-02-18,W,680733,435487,1116220
2026-02-19,W,657096,428673,1085769
2026-02-20,W,597569,353219,950788
2026-02-21,A,400275,261821,662096
2026-02-22,U,298002,177621,475623
2026-02-23,W,600377,356212,956589
2026-02-24,W,642202,416203,1058405
2026-02-25,W,661102,425585,1086687
2026-02-26,W,644774,421868,1066642
2026-02-27,W,650668,380592,1031260
2026-02-28,A,416135,263047,679182
2026-03-01,U,326886,203933,530819
2026-03-02,W,627486,360058,987544
2026-03-03,W,668530,417616,1086146
2026-03-04,W,658701,424237,1082938
2026-03-05,W,648366,421818,1070184
2026-03-06,W,589975,356027,946002
2026-03-07,A,452680,248609,701289
2026-03-08,U,360240,193036,553276
2026-03-09,W,661043,392502,1053545
2026-03-10,W,637883,422603,1060486
2026-03-11,W,613371,421433,1034804
2026-03-12,W,675989,460185,1136174
2026-03-13,W,622701,419196,1041897
2026-03-14,A,444090,553359,997449
2026-03-15,U,297111,219029,516140
2026-03-16,W,567191,373439,940630
2026-03-17,W,583376,419010,1002386
2026-03-18,W,602749,423062,1025811
2026-03-19,W,672561,441647,1114208
2026-03-20,W,654441,391660,1046101
2026-03-21,A,471889,315594,787483
2026-03-22,U,299580,232111,531691
2026-03-23,W,535703,338133,873836
2026-03-24,W,564217,386435,950652
2026-03-25,W,589979,397051,987030
2026-03-26,W,541319,393264,934583
2026-03-27,W,543109,346088,889197
2026-03-28,A,435694,352741,788435
2026-03-29,U,352753,240934,593687
2026-03-30,W,674656,424832,1099488
2026-03-31,W,633486,442332,1075818
2026-04-01,W,684531,451016,1135547
2026-04-02,W,620278,419466,1039744
2026-04-03,W,590346,379889,970235
2026-04-04,A,426509,278404,704913
2026-04-05,U,334625,207280,541905
2026-04-06,W,652271,393504,1045775
2026-04-07,W,688145,450584,1138729
2026-04-08,W,694793,457780,1152573
2026-04-09,W,684531,457632,1142163
2026-04-10,W,643765,410306,1054071
2026-04-11,A,458730,330496,789226
2026-04-12,U,368788,250476,619264
2026-04-13,W,649252,397150,1046402
2026-04-14,W,662823,445919,1108742
2026-04-15,W,664108,447463,1111571
2026-04-16,W,669361,459456,1128817
2026-04-17,W,670050,424557,1094607
2026-04-18,A,456734,325338,782072
2026-04-19,U,352633,239192,591825
2026-04-20,W,663948,411525,1075473
2026-04-21,W,680882,468889,1149771
2026-04-22,W,694018,480559,1174577
2026-04-23,W,704867,480434,1185301
2026-04-24,W,648466,408638,1057104
2026-04-25,A,467308,330927,798235
2026-04-26,U,358682,238809,597491
2026-04-27,W,594496,366822,961318
2026-04-28,W,693327,450554,1143881
2026-04-29,W,683443,452132,1135575
2026-04-30,W,681298,449242,1130540
